ID,Cidade,Bairro,Tipo,m2,Quartos,Banheiros,Vagas,Preço,Condomínio,IPTU,Latitude,Longitude
0,Juiz de Fora - MG,Centro,Studio,34,1,1,0,"R$ 1.400,00","R$ 150,00","R$ 0,00",-21.759859,-43.3467271
1,Juiz de Fora - MG,Granbery,Apartamento,92,3,2,0,"R$ 1.900,00","R$ 220,00","R$ 161,28",-21.7675479,-43.3437945
2,Juiz de Fora - MG,Santo Antônio,Apartamento,45,2,1,0,"R$ 600,00","R$ 132,00","R$ 125,00",-21.7732458,-43.3127406
3,Juiz de Fora - MG,Centro,Apartamento,71,1,1,1,"R$ 1.400,00","R$ 404,00","R$ 133,00",-21.759859,-43.3467271
4,Juiz de Fora - MG,Joquei Clube,Apartamento,55,2,1,1,"R$ 700,00","R$ 300,00","R$ 0,00",-21.7258339,-43.397439
5,Juiz de Fora - MG,Marilândia,Apartamento,62,2,1,1,"R$ 850,00","R$ 180,00","R$ 63,45",-21.7871711,-43.3907351
6,Juiz de Fora - MG,Joquei Clube,Apartamento,0,2,1,0,"R$ 600,00","R$ 270,00","R$ 0,00",-21.7258339,-43.397439
7,Juiz de Fora - MG,Nova Era,Galpão,4300,0,12,0,"R$ 85.000,00","R$ 0,00","R$ 2.439,00",-21.7084989,-43.4211379
8,Juiz de Fora - MG,Estrela Sul,Apartamento,47,1,1,0,"R$ 1.200,00","R$ 286,00","R$ 132,00",-21.7853626,-43.3546328
9,Juiz de Fora - MG,São Bernardo,Casa,100,3,2,0,"R$ 1.100,00","R$ 0,00","R$ 0,00",-21.7579231,-43.3389944
10,Juiz de Fora - MG,Centro,Sala,100,0,2,0,"R$ 1.700,00","R$ 0,00","R$ 289,76",-21.759859,-43.3467271
11,Juiz de Fora - MG,Santa Cecília,Apartamento,81,2,1,0,"R$ 1.000,00","R$ 180,00","R$ 0,00",-21.7813481,-43.3528052
12,Juiz de Fora - MG,São Bernardo,Apartamento,0,3,1,1,"R$ 650,00","R$ 260,00","R$ 58,00",-21.7579231,-43.3389944
13,Juiz de Fora - MG,Granbery,Cobertura,90,3,1,1,"R$ 1.300,00","R$ 290,00","R$ 90,00",-21.7675479,-43.3437945
14,Juiz de Fora - MG,Morro da Glória,Apartamento,96,3,3,1,"R$ 1.100,00","R$ 246,50","R$ 180,20",-21.7491916,-43.354837
15,Juiz de Fora - MG,Cascatinha,Apartamento,96,2,2,1,"R$ 1.400,00","R$ 180,00","R$ 145,00",-21.783859,-43.3630935
16,Juiz de Fora - MG,Granbery,Apartamento,45,1,1,0,"R$ 700,00","R$ 390,00","R$ 36,20",-21.7675479,-43.3437945
17,Juiz de Fora - MG,Nova Califórnia,Apartamento,90,3,1,0,"R$ 1.000,00","R$ 730,00","R$ 150,00",-21.7973058,-43.4008574
18,Juiz de Fora - MG,Centro,Apartamento,46,1,1,0,"R$ 800,00","R$ 153,83","R$ 82,44",-21.759859,-43.3467271
19,Juiz de Fora - MG,Cascatinha,Apartamento,50,2,1,1,"R$ 480,00","R$ 160,00","R$ 30,00",-21.783859,-43.3630935
20,Juiz de Fora - MG,Santa Cândida,Loja,60,2,1,0,"R$ 900,00","R$ 40,00","R$ 0,00",-21.7523138,-43.3376269
21,Juiz de Fora - MG,Santa Cândida,Loja,110,2,3,2,"R$ 2.300,00","R$ 380,01","R$ 155,01",-21.7523138,-43.3376269
22,Juiz de Fora - MG,Santa Luzia,Loja,66,0,1,0,"R$ 850,00","R$ 0,00","R$ 77,90",-21.7868628,-43.3447472
23,Juiz de Fora - MG,Centro,Apartamento,69,0,0,0,"R$ 850,00","R$ 0,00","R$ 82,00",-21.759859,-43.3467271
24,Juiz de Fora - MG,Centro,Sala,86,0,0,0,"R$ 2.300,00","R$ 0,00","R$ 0,00",-21.759859,-43.3467271
25,Juiz de Fora - MG,Centro,Apartamento,36,1,1,0,"R$ 600,00","R$ 280,00","R$ 0,00",-21.759859,-43.3467271
26,Juiz de Fora - MG,Marilândia,Apartamento,0,0,1,0,"R$ 700,00","R$ 390,00","R$ 170,00",-21.7871711,-43.3907351
27,Juiz de Fora - MG,Cascatinha,Apartamento,70,2,3,0,"R$ 1.200,00","R$ 390,00","R$ 165,00",-21.783859,-43.3630935
28,Juiz de Fora - MG,Cascatinha,Apartamento,62,2,1,1,"R$ 860,00","R$ 180,00","R$ 64,00",-21.783859,-43.3630935
29,Juiz de Fora - MG,São Pedro,Apartamento,86,2,3,2,"R$ 2.300,00","R$ 380,01","R$ 155,01",-21.7708213,-43.3879244
30,Juiz de Fora - MG,Centro,Apartamento,92,2,2,1,"R$ 1.850,00","R$ 350,27","R$ 142,36",-21.759859,-43.3467271
31,Juiz de Fora - MG,São Mateus,Apartamento,47,2,1,1,"R$ 720,00","R$ 160,00","R$ 39,02",-21.7735943,-43.3546617
32,Juiz de Fora - MG,Monte Castelo,Casa,33,1,1,0,"R$ 1.100,00","R$ 139,01","R$ 0,00",-21.7477591,-43.3826033
33,Juiz de Fora - MG,Bonfim,Apartamento,77,3,2,1,"R$ 1.100,00","R$ 250,00","R$ 126,00",-21.738407,-43.3447405
34,Juiz de Fora - MG,Centro,Apartamento,160,3,2,1,"R$ 950,00","R$ 0,00","R$ 125,00",-21.759859,-43.3467271
35,Juiz de Fora - MG,Paineiras,Apartamento,61,2,1,1,"R$ 850,00","R$ 229,05","R$ 80,00",-21.7657334,-43.3551152
36,Juiz de Fora - MG,Alto dos Pinheiros,Casa,80,1,1,1,"R$ 700,00","R$ 740,00","R$ 165,20",-21.7633035,-43.3778164
37,Juiz de Fora - MG,Vivendas da Serra,Apartamento,100,3,2,1,"R$ 1.500,00","R$ 200,00","R$ 155,00",-21.5597061,-43.0112788
38,Juiz de Fora - MG,Neo Residencial,Casa,315,4,4,6,"R$ 4.800,00","R$ 230,00","R$ 65,00",-21.7617614,-43.3850539
39,Juiz de Fora - MG,Paineiras,Apartamento,45,2,1,0,"R$ 600,00","R$ 160,00","R$ 40,00",-21.7657334,-43.3551152
40,Juiz de Fora - MG,Teixeiras,Apartamento,45,2,1,1,"R$ 173,00","R$ 145,00","R$ 551,00",-21.7908663,-43.3623365
41,Juiz de Fora - MG,Francisco Bernardino,Apartamento,0,2,1,1,"R$ 800,00","R$ 280,00","R$ 160,00",-21.73497,-43.3982458
42,Juiz de Fora - MG,Manoel Honorio,Apartamento,96,2,2,1,"R$ 980,00","R$ 250,00","R$ 140,00",-21.7435044,-43.3537058
43,Juiz de Fora - MG,Francisco Bernardino,GalpÃ£o,0,2,0,1,"R$ 550,00","R$ 205,00","R$ 0,00",-21.73497,-43.3982458
44,Juiz de Fora - MG,Granbery,Apartamento,0,2,1,0,"R$ 700,00","R$ 140,00","R$ 0,00",-21.7675479,-43.3437945
45,Juiz de Fora - MG,Granbery,Apartamento,700,0,0,0,"R$ 10.000,00","R$ 0,00","R$ 572,00",-21.7675479,-43.3437945
46,Juiz de Fora - MG,Bandeirantes,Casa,96,3,2,0,"R$ 1.350,00","R$ 285,00","R$ 100,00",-21.7215787,-43.3541886
47,Juiz de Fora - MG,Centro,Studio,75,2,1,1,"R$ 1.100,00","R$ 290,00","R$ 115,00",-21.759859,-43.3467271
48,Juiz de Fora - MG,Alto dos Passos,Apartamento,510,4,5,8,"R$ 7.500,00","R$ 0,00","R$ 750,00",-21.7762548,-43.3474599
49,Juiz de Fora - MG,Poço Rico,Apartamento,40,1,1,0,"R$ 1.100,00","R$ 138,79","R$ 0,00",-21.763706,-43.3392047
50,Juiz de Fora - MG,Centro,Studio,85,2,1,1,"R$ 1.300,00","R$ 311,00","R$ 149,93",-21.759859,-43.3467271
51,Juiz de Fora - MG,Centro,Loja,72,2,1,0,"R$ 600,00","R$ 150,00","R$ 81,00",-21.759859,-43.3467271
52,Juiz de Fora - MG,Centro,Loja,31,1,1,0,"R$ 1.500,00","R$ 150,00","R$ 120,00",-21.759859,-43.3467271
53,Juiz de Fora - MG,Centro,Loja,44,0,0,0,"R$ 3.000,00","R$ 359,00","R$ 168,06",-21.759859,-43.3467271
54,Juiz de Fora - MG,Centro,Loja,44,0,0,0,"R$ 2.000,00","R$ 359,00","R$ 66,66",-21.759859,-43.3467271
55,Juiz de Fora - MG,São Mateus,Apartamento,44,0,0,0,"R$ 2.000,00","R$ 359,00","R$ 69,78",-21.7735943,-43.3546617
56,Juiz de Fora - MG,Mariano Procopio,Prédio,44,0,0,0,"R$ 2.000,00","R$ 359,00","R$ 80,62",-21.7461726,-43.3556644
57,Juiz de Fora - MG,Centro,Loja,106,2,3,2,"R$ 2.000,00","R$ 850,00","R$ 193,66",-21.759859,-43.3467271
58,Juiz de Fora - MG,Cascatinha,Apartamento,530,0,3,3,"R$ 4.500,00","R$ 0,00","R$ 630,00",-21.783859,-43.3630935
59,Juiz de Fora - MG,São Pedro,Apartamento,100,0,0,0,"R$ 6.000,00","R$ 460,00","R$ 190,00",-21.7708213,-43.3879244
60,Juiz de Fora - MG,São Mateus,Apartamento,0,2,1,0,"R$ 1.800,00","R$ 350,00","R$ 200,00",-21.7735943,-43.3546617
61,Juiz de Fora - MG,Santos Dumont,Loja,50,2,1,1,"R$ 800,00","R$ 220,00","R$ 85,60",-21.7809405,-43.3866819
62,Juiz de Fora - MG,Passos,Casa,70,2,1,1,"R$ 800,00","R$ 195,00","R$ 101,00",-21.7762548,-43.3474599
63,Juiz de Fora - MG,São Mateus,Apartamento,80,0,1,0,"R$ 3.000,00","R$ 0,00","R$ 0,00",-21.7735943,-43.3546617
64,Juiz de Fora - MG,São Bernardo,Casa,60,2,2,0,"R$ 720,00","R$ 140,30","R$ 88,60",-21.7579231,-43.3389944
65,Juiz de Fora - MG,Centro,Apartamento,372,0,5,0,"R$ 6.000,00","R$ 0,00","R$ 665,00",-21.759859,-43.3467271
66,Juiz de Fora - MG,São Mateus,Apartamento,64,2,1,1,"R$ 1.550,00","R$ 429,00","R$ 234,00",-21.7735943,-43.3546617
67,Juiz de Fora - MG,Santa Helena,Apartamento,0,2,1,0,"R$ 650,00","R$ 0,00","R$ 19,81",-21.7575053,-43.3561412
68,Juiz de Fora - MG,Centro,Loja,80,2,1,1,"R$ 900,00","R$ 371,38","R$ 125,88",-21.759859,-43.3467271
69,Juiz de Fora - MG,Centro,Apartamento,40,2,1,0,"R$ 1.000,00","R$ 198,00","R$ 98,89",-21.759859,-43.3467271
70,Juiz de Fora - MG,São Mateus,Loja,45,1,1,0,"R$ 825,00","R$ 375,00","R$ 119,20",-21.7735943,-43.3546617
71,Juiz de Fora - MG,São Mateus,Sobrado,114,0,2,0,"R$ 3.000,00","R$ 70,00","R$ 473,72",-21.7735943,-43.3546617
72,Juiz de Fora - MG,Centro,Apartamento,0,1,1,0,"R$ 700,00","R$ 340,00","R$ 67,67",-21.759859,-43.3467271
73,Juiz de Fora - MG,Cidade do Sol,Cobertura,25,0,0,0,"R$ 1.500,00","R$ 0,00","R$ 76,36",-21.7192878,-43.4091603
74,Juiz de Fora - MG,Centro,Studio,81,4,2,0,"R$ 2.100,00","R$ 0,00","R$ 161,00",-21.759859,-43.3467271
75,Juiz de Fora - MG,Centro,Apartamento,44,1,1,0,"R$ 600,00","R$ 293,00","R$ 65,00",-21.759859,-43.3467271
76,Juiz de Fora - MG,Santa Catarina,Apartamento,109,3,2,1,"R$ 1.300,00","R$ 60,00","R$ 0,00",-21.7508782,-43.3592871
77,Juiz de Fora - MG,Granbery,Apartamento,33,1,1,1,"R$ 1.900,00","R$ 138,80","R$ 0,00",-21.7675479,-43.3437945
78,Juiz de Fora - MG,Aracy,Apartamento,153,3,3,1,"R$ 2.200,00","R$ 1.091,00","R$ 207,00",-21.761949,-43.3310087
79,Juiz de Fora - MG,Manoel Honorio,Cobertura,117,3,1,1,"R$ 1.200,00","R$ 300,00","R$ 117,10",-21.7435044,-43.3537058
80,Juiz de Fora - MG,Centro,Loja,94,2,2,1,"R$ 950,00","R$ 280,00","R$ 152,00",-21.759859,-43.3467271
81,Juiz de Fora - MG,Cascatinha,Sala,50,2,1,1,"R$ 1.200,00","R$ 0,00","R$ 77,50",-21.783859,-43.3630935
82,Juiz de Fora - MG,Cascatinha,Apartamento,200,3,3,0,"R$ 2.700,00","R$ 180,00","R$ 180,00",-21.783859,-43.3630935
83,Juiz de Fora - MG,Cascatinha,Sala,29,0,0,0,"R$ 3.000,00","R$ 160,00","R$ 107,00",-21.783859,-43.3630935
84,Juiz de Fora - MG,Nossa Senhora Aparecida,Casa,90,0,1,0,"R$ 1.800,00","R$ 130,00","R$ 190,00",-21.7465479,-43.3473422
85,Juiz de Fora - MG,Manoel Honorio,Apartamento,107,2,2,1,"R$ 2.300,00","R$ 500,00","R$ 186,00",-21.7435044,-43.3537058
86,Juiz de Fora - MG,Bandeirantes,Casa,49,0,1,0,"R$ 1.000,00","R$ 0,00","R$ 105,49",-21.7215787,-43.3541886
87,Juiz de Fora - MG,São Pedro,Studio,29,1,1,0,"R$ 400,00","R$ 0,00","R$ 20,00",-21.7708213,-43.3879244
88,Juiz de Fora - MG,São Mateus,Apartamento,64,2,1,1,"R$ 800,00","R$ 165,00","R$ 110,00",-21.7735943,-43.3546617
89,Juiz de Fora - MG,Alto dos Passos,Apartamento,484,4,5,8,"R$ 7.500,00","R$ 0,00","R$ 795,00",-21.7762548,-43.3474599
90,Juiz de Fora - MG,Benfica,Apartamento,29,1,1,1,"R$ 1.000,00","R$ 270,00","R$ 0,00",-21.6902673,-43.4361424
91,Juiz de Fora - MG,Centro,Apartamento,70,2,1,1,"R$ 1.700,00","R$ 280,00","R$ 0,00",-21.759859,-43.3467271
92,Juiz de Fora - MG,São Pedro,Apartamento,100,2,2,1,"R$ 1.000,00","R$ 550,00","R$ 156,35",-21.7708213,-43.3879244
93,Juiz de Fora - MG,Cascatinha,Sala,38,1,1,0,"R$ 800,00","R$ 0,00","R$ 0,00",-21.783859,-43.3630935
94,Juiz de Fora - MG,Centro,Apartamento,113,2,2,2,"R$ 2.200,00","R$ 550,00","R$ 279,00",-21.759859,-43.3467271
95,Juiz de Fora - MG,Santa Helena,Apartamento,30,1,1,0,"R$ 800,00","R$ 120,00","R$ 42,65",-21.7575053,-43.3561412
96,Juiz de Fora - MG,Progresso,Apartamento,90,0,1,0,"R$ 1.500,00","R$ 180,00","R$ 127,00",-21.730895,-43.3464281
97,Juiz de Fora - MG,São Pedro,Cobertura,30,1,1,0,"R$ 950,00","R$ 409,00","R$ 49,35",-21.7708213,-43.3879244
98,Juiz de Fora - MG,São Mateus,Apartamento,78,2,2,1,"R$ 1.300,00","R$ 225,53","R$ 151,25",-21.7735943,-43.3546617
99,Juiz de Fora - MG,Centro,Sala,1,2,1,0,"R$ 600,00","R$ 70,00","R$ 0,00",-21.759859,-43.3467271
100,Juiz de Fora - MG,São Pedro,Apartamento,130,2,2,1,"R$ 1.750,00","R$ 108,00","R$ 160,91",-21.7708213,-43.3879244
101,Juiz de Fora - MG,São Mateus,Apartamento,49,1,1,0,"R$ 850,00","R$ 350,00","R$ 117,48",-21.7735943,-43.3546617
102,Juiz de Fora - MG,Centro,Apartamento,33,0,1,0,"R$ 800,00","R$ 440,00","R$ 84,00",-21.759859,-43.3467271
103,Juiz de Fora - MG,Centro,Sala,50,2,1,1,"R$ 550,00","R$ 190,00","R$ 40,00",-21.759859,-43.3467271
104,Juiz de Fora - MG,Centro,Apartamento,67,2,1,1,"R$ 795,00","R$ 256,00","R$ 70,00",-21.759859,-43.3467271
105,Juiz de Fora - MG,Morro da Glória,Loja,57,1,1,1,"R$ 800,00","R$ 487,51","R$ 77,01",-21.7491916,-43.354837
106,Juiz de Fora - MG,Fábrica,Loja,271,0,0,5,"R$ 14.000,00","R$ 1.470,00","R$ 0,00",-21.7443938,-43.3709832
107,Juiz de Fora - MG,Vale do Ipe,Apartamento,84,3,1,0,"R$ 1.500,00","R$ 332,00","R$ 281,00",-21.7533384,-43.3648613
108,Juiz de Fora - MG,Centro,Apartamento,280,0,4,0,"R$ 3.000,00","R$ 0,00","R$ 1.300,00",-21.759859,-43.3467271
109,Juiz de Fora - MG,Centro,Apartamento,100,0,2,0,"R$ 1.500,00","R$ 0,00","R$ 152,00",-21.759859,-43.3467271
110,Juiz de Fora - MG,Santa Luzia,Apartamento,48,2,1,0,"R$ 720,00","R$ 140,00","R$ 97,00",-21.7868628,-43.3447472
